sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,57.0,98.0,2022-03-09T12:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,11.0,20.0,2022-03-21T11:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,19.0,33.0,2022-03-19T17:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,22.0,30.0,2022-03-24T01:00:00.000Z,2022-03-24T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,20.0,59.0,2022-03-08T16:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,8.0,16.0,2022-03-19T05:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,23.0,36.0,2022-03-19T20:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,7.0,27.0,2022-03-07T11:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,18.0,32.0,2022-03-21T19:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,16.0,29.0,2022-03-13T20:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,31.0,45.0,2022-03-23T04:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,8.0,29.0,2022-03-06T22:00:00.000Z,2022-03-06T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,29.0,42.0,2022-03-23T01:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,13.0,33.0,2022-03-27T07:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,42.0,101.0,2022-03-27T19:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,6.0,14.0,2022-03-18T02:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,9.0,16.0,2022-03-18T23:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,33.0,72.0,2022-03-03T09:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
